Epoch	Loss_train	MAE_train	RMSE_train	R2_train	PCC_train	Loss_val	MAE_val	RMSE_val	R2_val	PCC_val	MAE_test	RMSE_test	R2_test	PCC_test
121.0000	0.2268	0.3437	0.4763	0.8620	0.9285	0.6155	0.5627	0.7847	0.6485	0.8087	0.5587	0.7836	0.6166	0.7869
122.0000	0.2271	0.3445	0.4767	0.8618	0.9283	0.6179	0.5609	0.7862	0.6472	0.8056	0.5587	0.7836	0.6166	0.7869
123.0000	0.2260	0.3422	0.4751	0.8627	0.9288	0.6160	0.5674	0.7849	0.6483	0.8096	0.5587	0.7836	0.6166	0.7869
124.0000	0.2228	0.3418	0.4721	0.8645	0.9298	0.6116	0.5582	0.7821	0.6508	0.8085	0.5587	0.7836	0.6166	0.7869
125.0000	0.2227	0.3417	0.4719	0.8645	0.9298	0.6097	0.5607	0.7810	0.6518	0.8092	0.5587	0.7836	0.6166	0.7869
126.0000	0.2256	0.3441	0.4750	0.8628	0.9288	0.6052	0.5604	0.7781	0.6544	0.8091	0.5587	0.7836	0.6166	0.7869
Test MAE: 0.5587
Test RMSE: 0.7836
Test R2: 0.6166
Test PCC: 0.7869
