Epoch	Loss_train	MAE_train_Kcat	RMSE_train_Kcat	R2_train_Kcat	PCC_train_Kcat	MAE_train_Km	RMSE_train_Km	R2_train_Km	PCC_train_Km	Loss_val	MAE_val_Kcat	RMSE_val_Kcat	R2_val_Kcat	PCC_val_Kcat	MAE_val_Km	RMSE_val_Km	R2_val_Km	PCC_val_Km	MAE_test_Kcat	RMSE_test_Kcat	R2_test_Kcat	PCC_test_Kcat	MAE_test_Km	RMSE_test_Km	R2_test_Km	PCC_test_Km
47.0000	0.7370	0.4617	0.6461	0.8102	0.9001	0.4190	0.5654	0.8045	0.8970	1.3492	0.6027	0.8398	0.6637	0.8164	0.5867	0.8042	0.6151	0.7906	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
48.0000	0.7335	0.4645	0.6496	0.8081	0.8989	0.4141	0.5584	0.8094	0.8997	1.3715	0.5915	0.8403	0.6633	0.8170	0.5940	0.8173	0.6024	0.7850	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
49.0000	0.7291	0.4563	0.6426	0.8122	0.9012	0.4147	0.5621	0.8068	0.8982	1.3870	0.6127	0.8618	0.6459	0.8096	0.5891	0.8045	0.6148	0.7896	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
50.0000	0.7225	0.4526	0.6373	0.8153	0.9030	0.4171	0.5623	0.8067	0.8982	1.3813	0.6088	0.8589	0.6483	0.8124	0.5959	0.8043	0.6149	0.7909	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
51.0000	0.7206	0.4583	0.6401	0.8137	0.9020	0.4127	0.5573	0.8101	0.9001	1.3360	0.5855	0.8286	0.6727	0.8215	0.5888	0.8079	0.6115	0.7884	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
52.0000	0.7132	0.4551	0.6391	0.8143	0.9024	0.4068	0.5520	0.8137	0.9021	1.3487	0.5942	0.8400	0.6635	0.8181	0.5863	0.8036	0.6156	0.7870	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
53.0000	0.6969	0.4486	0.6280	0.8207	0.9059	0.4053	0.5501	0.8150	0.9028	1.3539	0.5928	0.8406	0.6631	0.8161	0.6004	0.8063	0.6130	0.7889	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
54.0000	0.6947	0.4411	0.6221	0.8240	0.9078	0.4120	0.5548	0.8118	0.9010	1.3574	0.5998	0.8526	0.6534	0.8148	0.5798	0.7948	0.6240	0.7922	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
55.0000	0.6897	0.4460	0.6263	0.8216	0.9064	0.4021	0.5452	0.8183	0.9046	1.3117	0.5885	0.8274	0.6736	0.8211	0.5821	0.7932	0.6255	0.7910	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
56.0000	0.6856	0.4435	0.6269	0.8213	0.9063	0.3989	0.5410	0.8211	0.9061	1.3234	0.5911	0.8352	0.6674	0.8211	0.5803	0.7929	0.6258	0.7921	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
57.0000	0.6652	0.4344	0.6145	0.8283	0.9101	0.3933	0.5360	0.8244	0.9080	1.2997	0.5825	0.8289	0.6724	0.8226	0.5753	0.7841	0.6341	0.7963	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
58.0000	0.6690	0.4339	0.6137	0.8287	0.9103	0.3987	0.5408	0.8212	0.9062	1.3057	0.5872	0.8274	0.6736	0.8222	0.5787	0.7894	0.6291	0.7936	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
59.0000	0.6712	0.4360	0.6184	0.8261	0.9089	0.3937	0.5372	0.8236	0.9075	1.3102	0.5846	0.8218	0.6780	0.8245	0.5860	0.7979	0.6211	0.7884	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
60.0000	0.6592	0.4315	0.6096	0.8310	0.9116	0.3941	0.5357	0.8245	0.9080	1.3204	0.5846	0.8225	0.6774	0.8267	0.5908	0.8029	0.6163	0.7856	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
61.0000	0.6499	0.4272	0.6053	0.8334	0.9129	0.3936	0.5326	0.8266	0.9092	1.3276	0.5841	0.8292	0.6722	0.8203	0.5891	0.8013	0.6179	0.7871	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
62.0000	0.6482	0.4259	0.6026	0.8349	0.9137	0.3928	0.5340	0.8256	0.9087	1.3134	0.5813	0.8253	0.6753	0.8230	0.5793	0.7966	0.6223	0.7907	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
63.0000	0.6450	0.4291	0.6067	0.8326	0.9125	0.3859	0.5261	0.8308	0.9115	1.3270	0.5847	0.8397	0.6638	0.8206	0.5803	0.7904	0.6282	0.7940	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
64.0000	0.6323	0.4238	0.6019	0.8353	0.9139	0.3794	0.5195	0.8350	0.9138	1.3143	0.5773	0.8159	0.6826	0.8265	0.5863	0.8075	0.6119	0.7875	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
65.0000	0.6350	0.4221	0.5988	0.8370	0.9149	0.3851	0.5259	0.8309	0.9115	1.3427	0.5859	0.8408	0.6630	0.8191	0.5895	0.7996	0.6195	0.7902	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
66.0000	0.6289	0.4164	0.5934	0.8399	0.9165	0.3862	0.5261	0.8308	0.9115	1.3201	0.5833	0.8261	0.6746	0.8232	0.5851	0.8006	0.6185	0.7896	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
67.0000	0.6196	0.4159	0.5900	0.8417	0.9175	0.3819	0.5206	0.8343	0.9134	1.3027	0.5783	0.8235	0.6767	0.8243	0.5785	0.7919	0.6267	0.7930	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
68.0000	0.6213	0.4154	0.5915	0.8409	0.9170	0.3811	0.5212	0.8340	0.9132	1.3304	0.5853	0.8363	0.6665	0.8206	0.5789	0.7960	0.6228	0.7920	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
69.0000	0.6153	0.4154	0.5867	0.8435	0.9184	0.3815	0.5202	0.8346	0.9136	1.3228	0.5784	0.8282	0.6729	0.8231	0.5828	0.8001	0.6189	0.7934	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
70.0000	0.6080	0.4098	0.5840	0.8449	0.9192	0.3766	0.5166	0.8368	0.9148	1.3024	0.5781	0.8214	0.6783	0.8274	0.5843	0.7945	0.6243	0.7937	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
71.0000	0.5982	0.4090	0.5806	0.8467	0.9202	0.3722	0.5107	0.8405	0.9168	1.3331	0.5846	0.8442	0.6602	0.8162	0.5779	0.7893	0.6292	0.7952	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
72.0000	0.5932	0.4075	0.5796	0.8472	0.9205	0.3705	0.5071	0.8428	0.9180	1.3013	0.5875	0.8231	0.6769	0.8267	0.5779	0.7913	0.6273	0.7931	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
73.0000	0.5901	0.4042	0.5754	0.8495	0.9217	0.3718	0.5087	0.8418	0.9175	1.2795	0.5679	0.8125	0.6853	0.8305	0.5748	0.7882	0.6302	0.7944	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
74.0000	0.5920	0.4051	0.5760	0.8492	0.9215	0.3715	0.5103	0.8408	0.9169	1.3156	0.5762	0.8209	0.6787	0.8269	0.5851	0.8025	0.6166	0.7891	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
75.0000	0.5855	0.4037	0.5735	0.8504	0.9222	0.3693	0.5066	0.8431	0.9182	1.3114	0.5715	0.8215	0.6782	0.8290	0.5804	0.7998	0.6193	0.7895	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
