Epoch	Loss_train	MAE_train	RMSE_train	R2_train	PCC_train	Loss_val	MAE_val	RMSE_val	R2_val	PCC_val	MAE_test	RMSE_test	R2_test	PCC_test
91.0000	0.3855	0.4469	0.6212	0.8302	0.9112	0.7309	0.6042	0.8546	0.6654	0.8194	0.6072	0.8849	0.6693	0.8190
92.0000	0.3932	0.4521	0.6273	0.8269	0.9093	0.7327	0.6052	0.8557	0.6645	0.8177	0.6072	0.8849	0.6693	0.8190
93.0000	0.3838	0.4436	0.6195	0.8311	0.9117	0.7201	0.6011	0.8483	0.6703	0.8194	0.6072	0.8849	0.6693	0.8190
94.0000	0.3832	0.4457	0.6190	0.8314	0.9118	0.7247	0.5986	0.8511	0.6681	0.8186	0.6072	0.8849	0.6693	0.8190
95.0000	0.3927	0.4455	0.6259	0.8276	0.9097	0.7281	0.5960	0.8530	0.6667	0.8210	0.6072	0.8849	0.6693	0.8190
96.0000	0.3774	0.4389	0.6141	0.8341	0.9133	0.7000	0.5934	0.8366	0.6793	0.8252	0.6072	0.8849	0.6693	0.8190
97.0000	0.3769	0.4404	0.6142	0.8340	0.9132	0.7059	0.6042	0.8401	0.6766	0.8228	0.6072	0.8849	0.6693	0.8190
98.0000	0.3815	0.4437	0.6179	0.8320	0.9121	0.7219	0.6007	0.8496	0.6693	0.8201	0.6072	0.8849	0.6693	0.8190
99.0000	0.3709	0.4375	0.6085	0.8371	0.9149	0.7119	0.5987	0.8436	0.6739	0.8219	0.6072	0.8849	0.6693	0.8190
100.0000	0.3731	0.4380	0.6108	0.8358	0.9143	0.7064	0.5909	0.8402	0.6765	0.8235	0.6072	0.8849	0.6693	0.8190
101.0000	0.3674	0.4327	0.6061	0.8383	0.9156	0.7072	0.5926	0.8408	0.6761	0.8237	0.6072	0.8849	0.6693	0.8190
102.0000	0.3705	0.4353	0.6085	0.8371	0.9149	0.7067	0.5933	0.8405	0.6763	0.8226	0.6072	0.8849	0.6693	0.8190
103.0000	0.3669	0.4347	0.6058	0.8385	0.9157	0.7174	0.5911	0.8469	0.6714	0.8210	0.6072	0.8849	0.6693	0.8190
104.0000	0.3583	0.4292	0.5987	0.8423	0.9178	0.6912	0.5888	0.8312	0.6834	0.8272	0.6072	0.8849	0.6693	0.8190
105.0000	0.3564	0.4283	0.5952	0.8441	0.9188	0.7106	0.5927	0.8427	0.6746	0.8227	0.6072	0.8849	0.6693	0.8190
106.0000	0.3631	0.4341	0.6028	0.8401	0.9166	0.6937	0.5899	0.8326	0.6824	0.8262	0.6072	0.8849	0.6693	0.8190
107.0000	0.3549	0.4280	0.5950	0.8442	0.9188	0.7155	0.5922	0.8457	0.6724	0.8234	0.6072	0.8849	0.6693	0.8190
108.0000	0.3523	0.4247	0.5927	0.8454	0.9195	0.7267	0.5899	0.8520	0.6674	0.8266	0.6072	0.8849	0.6693	0.8190
109.0000	0.3540	0.4265	0.5949	0.8443	0.9188	0.7312	0.6018	0.8550	0.6651	0.8213	0.6072	0.8849	0.6693	0.8190
110.0000	0.3453	0.4228	0.5872	0.8483	0.9210	0.7190	0.5952	0.8478	0.6707	0.8205	0.6072	0.8849	0.6693	0.8190
111.0000	0.3460	0.4211	0.5884	0.8477	0.9207	0.7330	0.5995	0.8560	0.6643	0.8221	0.6072	0.8849	0.6693	0.8190
112.0000	0.3490	0.4226	0.5909	0.8464	0.9200	0.7058	0.5883	0.8398	0.6769	0.8233	0.6072	0.8849	0.6693	0.8190
113.0000	0.3369	0.4133	0.5800	0.8520	0.9230	0.7016	0.5826	0.8373	0.6788	0.8253	0.6072	0.8849	0.6693	0.8190
114.0000	0.3346	0.4137	0.5783	0.8528	0.9235	0.7096	0.5897	0.8422	0.6750	0.8243	0.6072	0.8849	0.6693	0.8190
115.0000	0.3270	0.4088	0.5709	0.8566	0.9255	0.7052	0.5829	0.8397	0.6770	0.8241	0.6072	0.8849	0.6693	0.8190
116.0000	0.3343	0.4144	0.5784	0.8528	0.9235	0.6805	0.5722	0.8248	0.6883	0.8304	0.6072	0.8849	0.6693	0.8190
117.0000	0.3295	0.4121	0.5741	0.8550	0.9247	0.6951	0.5840	0.8336	0.6817	0.8260	0.6072	0.8849	0.6693	0.8190
118.0000	0.3251	0.4062	0.5704	0.8569	0.9257	0.6926	0.5825	0.8320	0.6828	0.8267	0.6072	0.8849	0.6693	0.8190
119.0000	0.3385	0.4153	0.5820	0.8510	0.9225	0.6874	0.5805	0.8288	0.6853	0.8308	0.6072	0.8849	0.6693	0.8190
120.0000	0.3295	0.4097	0.5741	0.8550	0.9246	0.7132	0.5953	0.8446	0.6732	0.8215	0.6072	0.8849	0.6693	0.8190
121.0000	0.3237	0.4073	0.5683	0.8579	0.9262	0.7076	0.5897	0.8411	0.6759	0.8234	0.6072	0.8849	0.6693	0.8190
122.0000	0.3247	0.4074	0.5697	0.8572	0.9258	0.7258	0.5979	0.8518	0.6676	0.8224	0.6072	0.8849	0.6693	0.8190
123.0000	0.3187	0.4054	0.5646	0.8598	0.9272	0.7037	0.5832	0.8387	0.6778	0.8269	0.6072	0.8849	0.6693	0.8190
124.0000	0.3176	0.4035	0.5634	0.8603	0.9275	0.6849	0.5822	0.8274	0.6864	0.8285	0.6072	0.8849	0.6693	0.8190
125.0000	0.3193	0.4054	0.5653	0.8594	0.9270	0.6926	0.5774	0.8319	0.6829	0.8300	0.6072	0.8849	0.6693	0.8190
126.0000	0.3160	0.3994	0.5621	0.8610	0.9279	0.7108	0.5874	0.8429	0.6745	0.8244	0.6072	0.8849	0.6693	0.8190
127.0000	0.3182	0.4019	0.5632	0.8604	0.9276	0.6934	0.5834	0.8325	0.6824	0.8283	0.6072	0.8849	0.6693	0.8190
128.0000	0.3075	0.3975	0.5542	0.8648	0.9300	0.7015	0.5864	0.8375	0.6787	0.8250	0.6072	0.8849	0.6693	0.8190
129.0000	0.3104	0.3972	0.5568	0.8636	0.9293	0.7154	0.5874	0.8458	0.6722	0.8253	0.6072	0.8849	0.6693	0.8190
130.0000	0.3071	0.3953	0.5531	0.8654	0.9303	0.6915	0.5857	0.8314	0.6833	0.8268	0.6072	0.8849	0.6693	0.8190
131.0000	0.3085	0.3956	0.5549	0.8645	0.9298	0.7193	0.5879	0.8479	0.6706	0.8252	0.6072	0.8849	0.6693	0.8190
132.0000	0.3107	0.3970	0.5576	0.8632	0.9291	0.6859	0.5749	0.8279	0.6860	0.8303	0.6072	0.8849	0.6693	0.8190
133.0000	0.2982	0.3912	0.5461	0.8688	0.9321	0.7105	0.5796	0.8425	0.6748	0.8281	0.6072	0.8849	0.6693	0.8190
134.0000	0.3063	0.3946	0.5532	0.8653	0.9302	0.7042	0.5851	0.8390	0.6775	0.8245	0.6072	0.8849	0.6693	0.8190
135.0000	0.2973	0.3899	0.5455	0.8691	0.9322	0.6855	0.5734	0.8279	0.6860	0.8306	0.6072	0.8849	0.6693	0.8190
136.0000	0.2966	0.3873	0.5448	0.8694	0.9324	0.6754	0.5750	0.8217	0.6907	0.8311	0.6072	0.8849	0.6693	0.8190
137.0000	0.3042	0.3915	0.5504	0.8667	0.9310	0.6914	0.5798	0.8314	0.6833	0.8274	0.6072	0.8849	0.6693	0.8190
138.0000	0.2940	0.3862	0.5418	0.8708	0.9332	0.6895	0.5767	0.8302	0.6842	0.8281	0.6072	0.8849	0.6693	0.8190
139.0000	0.2932	0.3871	0.5414	0.8710	0.9333	0.7015	0.5828	0.8374	0.6787	0.8276	0.6072	0.8849	0.6693	0.8190
140.0000	0.2944	0.3853	0.5426	0.8705	0.9330	0.6868	0.5728	0.8285	0.6855	0.8314	0.6072	0.8849	0.6693	0.8190
141.0000	0.2892	0.3822	0.5373	0.8730	0.9343	0.6838	0.5793	0.8267	0.6869	0.8293	0.6072	0.8849	0.6693	0.8190
142.0000	0.2911	0.3864	0.5392	0.8721	0.9339	0.6885	0.5836	0.8295	0.6848	0.8301	0.6072	0.8849	0.6693	0.8190
143.0000	0.2898	0.3844	0.5384	0.8724	0.9340	0.7009	0.5736	0.8368	0.6792	0.8296	0.6072	0.8849	0.6693	0.8190
144.0000	0.2847	0.3798	0.5328	0.8751	0.9355	0.6966	0.5776	0.8344	0.6810	0.8303	0.6072	0.8849	0.6693	0.8190
145.0000	0.2826	0.3766	0.5301	0.8764	0.9361	0.6868	0.5821	0.8287	0.6854	0.8305	0.6072	0.8849	0.6693	0.8190
146.0000	0.2815	0.3777	0.5306	0.8761	0.9360	0.6787	0.5746	0.8237	0.6891	0.8310	0.6072	0.8849	0.6693	0.8190
147.0000	0.2809	0.3762	0.5290	0.8769	0.9364	0.6832	0.5727	0.8261	0.6874	0.8311	0.6072	0.8849	0.6693	0.8190
148.0000	0.2940	0.3851	0.5423	0.8706	0.9331	0.6905	0.5724	0.8306	0.6839	0.8284	0.6072	0.8849	0.6693	0.8190
149.0000	0.2829	0.3781	0.5320	0.8754	0.9357	0.6856	0.5715	0.8277	0.6861	0.8300	0.6072	0.8849	0.6693	0.8190
150.0000	0.2781	0.3756	0.5276	0.8775	0.9368	0.6984	0.5756	0.8355	0.6801	0.8273	0.6072	0.8849	0.6693	0.8190
